time err max
0.0161525 2.7534 1.21985
0.0617867 0.965113 4.26949
0.113317 0.70842 1.82978
0.169747 0.587462 2.43971
0.255841 0.508444 7.31912
0.324132 0.451269 12.1985
0.396758 0.409349 10.3688
0.475459 0.377886 14.0283
0.55973 0.357226 15.8581
0.652045 0.33758 14.0283
0.747 0.313099 13.4184
0.84773 0.307368 17.078
0.953421 0.297034 20.1276
1.06428 0.284182 17.078
1.18086 0.275757 24.3971
1.30079 0.262508 24.3971
1.42511 0.257809 20.7375
1.55413 0.249366 17.6879
1.68891 0.24376 23.1772
1.83021 0.245216 27.4467
1.97378 0.238249 22.5673
2.12198 0.231016 29.2765
2.27406 0.225149 32.9361
2.43234 0.219351 21.9574
2.59225 0.216126 25.6169
2.75669 0.219193 26.2269
2.92458 0.211007 31.7162
3.09898 0.202348 25.6169
3.27512 0.205436 29.2765
3.45657 0.200505 29.8864
3.64291 0.198293 35.9857
3.83016 0.197749 39.0353
4.02157 0.193702 32.3261
4.21869 0.191556 31.1063
4.42024 0.188731 43.3048
4.62443 0.186167 44.5247
4.83239 0.187337 29.2765
5.04114 0.186915 43.3048
5.25171 0.187004 37.2055
5.46785 0.185385 38.4254
5.6859 0.178064 44.5247
5.90584 0.176826 42.085
6.1339 0.177735 39.6452
6.36244 0.173358 32.3261
6.59613 0.17568 42.6949
6.83026 0.176597 39.6452
7.049 0.172238 42.085
7.29106 0.171233 45.7445
7.51576 0.170941 39.0353
7.76076 0.16874 37.8155
8.01031 0.168796 44.5247
8.25996 0.169438 51.2339
8.51116 0.168872 55.5033
8.76417 0.165331 46.9644
9.00478 0.162853 49.4041
9.24576 0.16343 46.3544
9.50568 0.16047 47.5743
9.75242 0.160633 54.2835
10.0171 0.162734 50.014
10.2689 0.161491 48.1842
10.5214 0.161297 60.9927
10.7775 0.158337 45.7445
11.0344 0.15858 53.6736
11.3115 0.159426 56.1133
11.5907 0.156826 44.5247
11.8525 0.155619 47.5743
12.1183 0.156078 53.0636
12.3858 0.152915 59.1629
12.6563 0.154676 56.7232
12.9263 0.153708 64.6523
13.1994 0.153545 60.9927
13.4742 0.15542 51.2339
13.7656 0.153687 53.0636
14.0414 0.153328 60.3828
14.3195 0.151086 62.2125
14.6006 0.151582 60.9927
14.8812 0.150881 60.3828
15.1647 0.150836 54.2835
15.4487 0.149792 47.5743
15.7365 0.14933 59.7728
16.0417 0.148397 58.553
